FID,Status,Score,Match_type,Match_addr,Number,LONGITUDE,LATITUDE,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
133,M,100,A,"1200 Wilshire Blvd, Los Angeles, CA, 90017",1,-118.264882,34.052987,392-016303,PSH,Integrated Recovery Network,Housing and Supportive Services 1,N,0,SMF,Individual,NA, ,Yes,1,1200 Wilshire Blvd., Suite 402,Los Angeles,90017,62118,Marsha Temple,Executive Director,(213) 977-9446,mtemple@integratedrecoverynetwork.org,SPA 4,SD 1,CD 1,209102,20, ,20, , 
134,M,100,A,"811 Wilshire Blvd, Los Angeles, CA, 90017",1,-118.258359,34.049605,333-013161,ES,Los Angeles Homeless Services Authority,ERT/Calworks Family Voucher Program,C,Voucher beds,SMF+HC,Family,NA,NA,No,1,811 Wilshire Blvd, 6th Floor,Los Angeles,90017,62118,Pearl Cortez,ERT/HCFP Housing Specialist,(213) 225-6574,pcortez@lahsa.org,SPA 4,SD 1,CD 14,207710,10, ,10, , 
135,M,83.37,M,"534 Wall St, Los Angeles, CA, 90013",1,-118.246184,34.044379,039-009702,PSH,Los Angeles Single Room Occupancy Housing Corporation,Carlton Hotel,C,0,SMF,Individual,NA,Chronically Homeless,No,0.14,534 S. Wall St., ,Los Angeles,90015,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,206300,43, ,6,Skidrow, 
136,M,83.37,M,"517 San Julian St, Los Angeles, CA, 90013",1,-118.24522,34.044307,039-009747,TH,Los Angeles Single Room Occupancy Housing Corporation,GPD - Veterans Transitional Housing VTP 36,C,0,SMF,Individual,NA,NA,No,0.78,517 S. San Julian St., ,Los Angeles,90017,62118,Rosalind Harris,Program Manager,(213) 229-9680,gabrieln@srohousing.org,SPA 4,SD 2,CD 14,206300,36, ,28,Skidrow,Veterans
137,M,90.87,A,"1340 Maryland St, Los Angeles, CA, 90017",1,-118.261615,34.056073,011-001114,PSH,A Community of Friends,Maryland Apartments,C,0,SMF,Individual,NA,Mentally Ill,No,0.88,1340 W. Maryland St., ,Los Angeles,90017,62118,Dora Leong Gallo,CEO,(213) 480-0811,dgallo@acof.org,SPA 4,SD 1,CD 1,209200,33, ,29, , 
138,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001003,TH,1736 Family Crisis Center,South Bay 1 Domestic Violence Transitional Shelter,C,0,SFHC,Family,DV,NA,No,0.75,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 737-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,12, ,9, , 
139,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001002,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 2,C,Facility-based beds,SFHC,Family,DV,NA,No,0.8,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 737-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,5, ,4, , 
140,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001020,RRH,1736 Family Crisis Center,SSVF - Supportive Services for Veteran Families,C,0,SMF+HC,Family,NA, ,No,1,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3902,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,28, ,28, , 
141,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001001,ES,1736 Family Crisis Center,Domestic Violence Shelter-LA 1,C,Facility-based beds,SFHC,Family,DV,NA,No,0.4,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3905,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,5, ,2, , 
142,M,100,PP, ,1,-118.327364,34.046288,299-009200,TH,"Restore, A Renewal For Women, Inc.",Restore Transitional Housing,C,0,SFHC,Family,DV,NA,No,0.47,Confidential, ,Los Angeles,90019,62118,Deidre Lewis, ,(323) 937-7672, ,SPA 4,SD 2,CD 10,221301,17, ,8, , 
143,M,100,A,"1925 W Washington Blvd, Los Angeles, CA, 90018",1,-118.300924,34.040022,282-007400,PSH,Mental Health America of Los Angeles,Crossroad's Village,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,1925 W. Washington Blvd., ,Los Angeles,90018,62118,Amy Pacheco,Homeless Services Contract Administrator,(562) 485-8290,apacheco@mhala.org,SPA 4,SD 2,CD 10,221210,20, ,20, , 
144,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001014,TH,1736 Family Crisis Center,Transitional Program-LA 2,C,0,SFHC,Family,DV,NA,No,0.8,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3900,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,15, ,12, , 
145,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001021,ES,1736 Family Crisis Center,South Bay 1 Domestic Violence Shelter,C,Facility-based beds,SFHC,Family,DV, ,Yes,0.67,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3901,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,12, ,8, , 
146,M,100,A,"2116 Arlington Ave, Los Angeles, CA, 90018",1,-118.317581,34.037561,045-001012,TH,1736 Family Crisis Center,Transitional Program-LA 1,C,0,SMHC,Family,DV,NA,Yes,0.53,2116 Arlington Ave., Suite 200,Los Angeles,90018,62118,Rachel Citron,Dir. Contracts & QA,(323) 373-3903,rcitron@1736fcc.org,SPA 6,SD 2,CD 10,221400,15, ,8, , 
147,M,90.87,A,"725 Witmer St, Los Angeles, CA, 90017",1,-118.268063,34.052045,011-001116,PSH,A Community of Friends,Parker Hotel Apartments,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.97,725 S. Witmer St., ,Los Angeles,90017,62118,Dora Leong Gallo,CEO,(213) 480-0810,dgallo@acof.org,SPA 4,SD 1,CD 1,209300,30, ,29, , 
148,M,100,A,"1824 4th Ave, Los Angeles, CA, 90019",1,-118.321194,34.040042,158-005150,TH,Gramercy Housing Group,Gramercy Court,C,0,HC,Youth,NA,Youth (Ages 18-25),Yes,1,1824 4th Ave., ,Los Angeles,90019,62118,Courtney Kanagi,Director of Community Outreach,(323) 737-7351,courtneyk@epath.org,SPA 4,SD 2,CD 10,218120,30, ,30, , 
149,M,100,A,"2561 Venice Blvd, Los Angeles, CA, 90019",1,-118.31713,34.043601,257-005050,TH,Good Shepherd Shelter of Los Angeles,Good Shepherd Shelter,C,0,SFHC,Family,DV,NA,No,0.98,2561 Venice Blvd, ,Los Angeles,90019,62118,Lois Lengel,Regional Manager,(323) 737-6111,llengel@goodshephercenter.org,SPA 4,SD 2,CD 10,221301,48, ,47, , 
150,M,100,A,"510 S Alexandria Ave, Los Angeles, CA, 90020",1,-118.297865,34.065164,183-001251,OPH,Alexandria House,Homeless Section 8 Voucher Program (HACLA),C,0,SFHC,Family,NA,NA,Yes,0.67,510 S Alexandria Ave, ,Los Angeles,90020,62118,Judy Vaughan,Founding Director,(213) 381-2649,judy@alexandriahouse.org,SPA 4,SD 2,CD 10,212100,24, ,16, , 
151,M,100,A,"426 S Alexandria Ave, Los Angeles, CA, 90020",1,-118.29787,34.066704,183-001250,TH,Alexandria House,Transitional Housing for Single Women & Women with Children,C,0,SFHC,Family,NA,NA,Yes,1,426 S. Alexandria Ave., ,Los Angeles,90020,62118,Judy Vaughan,Founding Director,(213) 381-2649,judy@alexandriahouse.org,SPA 4,SD 2,CD 10,211910,23, ,23, , 
152,M,100,A,"510 S Alexandria Ave, Los Angeles, CA, 90020",1,-118.297865,34.065164,263-005700,PSH,Alexandria House,Alexandria House Apartments,C,0,SMF+HC,Family,NA,Chronically Homeless,Yes,0,510 S. Alexandria Ave., ,Los Angeles,90020,62118,Sonia Yanez,Associate Director,(213) 381-2649,sunniemy426@yahoo.com,SPA 4,SD 2,CD 10,212100,26, ,0, , 
153,M,100,A,"1428 12th Ave, Los Angeles, CA, 90019",1,-118.325242,34.046032,110-009606,TH,The Serra Project,Serra Project - 12th Avenue,N,0,SMF,Individual,HIV,Chronically Homeless,No,1,1428 12TH AVE, ,Los Angeles,90019,62118,Freda Vicki,Group Home Director,(323) 344-4890,vfreda@alliancehh.org,SPA 4,SD 2,CD 10,218110,6, ,6, , 
154,M,90.87,A,"345 Columbia Ave, Los Angeles, CA, 90017",1,-118.265085,34.058405,389-016152,PSH,First Place for Youth,My First Place TAY Housing Stabilization Project- SD 5,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.75,345 S Columbia Ave, ,Los Angeles,90017,62724,Alex Atkinson,Director,(213) 835-2700,aatkinson@firstplaceforyouth.org,SPA 3,SD 5,NA,0,16, ,12, , 
155,M,100,A,"1242 E 7th St, Los Angeles, CA, 90021",1,-118.24165,34.037084,039-009748,PSH,Los Angeles Single Room Occupancy Housing Corporation,Rivers Apartments (General),C,0,SMF,Individual,NA,Chronically Homeless,No,1,1242 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,31, ,31, , 
156,M,100,A,"1242 E 7th St, Los Angeles, CA, 90021",1,-118.24165,34.037084,039-009717,PSH,Los Angeles Single Room Occupancy Housing Corporation,Rivers Apartments,C,0,SMF,Individual,HIV,Chronically Homeless,No,0.82,1242 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,38, ,31, , 
157,M,100,A,"1000 E 7th St, Los Angeles, CA, 90021",1,-118.243691,34.038524,039-009757,PSH,Los Angeles Single Room Occupancy Housing Corporation,Ford Apartments,N,0,SMF,Individual,NA,NA,No,0.67,1000 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,133, ,89, , 
158,M,100,A,"676 S Central Ave, Los Angeles, CA, 90021",1,-118.240564,34.037327,036-009813,PSH,Skid Row Housing Trust,Produce Hotel,C,0,SMF,Individual,NA,NA,Yes,0.72,676 S CENTRAL AVE, ,Los Angeles,90021,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 2,CD 14,206300,95, ,68,Skidrow, 
159,M,100,A,"905 E 8th St, Los Angeles, CA, 90021",1,-118.246672,34.036501,210-001650,PSH,"Special Service for Groups, Inc.",Shelter Plus Care - Tenant Based Project (HACoLA),C,0,SMF+HC,Family,NA,NA,Yes,0.22,905 E 8TH ST, ,Los Angeles,90021,62118,Joo Eric Lee,MFT Intern,(213) 483-3000,elee@apctc.org,SPA 4,SD 2,CD 1,208710,94, ,21, , 
160,M,100,A,"905 E 6th St, Los Angeles, CA, 90021",1,-118.241058,34.039775,036-009815,PSH,Skid Row Housing Trust,Rossmore Hotel,C,0,SMF,Individual,NA,NA,Yes,0.93,905 E 6TH ST, ,Los Angeles,90021,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 2,CD 14,206300,58, ,54,Skidrow, 
161,M,100,A,"1014 E 7th St, Los Angeles, CA, 90021",1,-118.243515,34.0384,039-009716,PSH,Los Angeles Single Room Occupancy Housing Corporation,Prentice Hotel,C,0,SMF,Individual,NA,Chronically Homeless,No,0.95,1014 E. 7th St., ,Los Angeles,90021,62118,Virginia Reed,Program Manager,(213) 633-4716,vreed@srohousing.org,SPA 4,SD 2,CD 14,226000,44, ,42, , 
162,M,92.5,A,"1745 Wilcox Ave, Los Angeles, CA, 90028",1,-118.331126,34.102653,179-006904,PSH,Los Angeles Gay & Lesbian Community Services Center,TAY Independent Living Program,N,0,YMF,Youth,NA, ,Yes,0.93,1745 Wilcox Ave, ,Los Angeles,90020,62118,Luis Hernandez,Program Supervisor,(323) 993-7462,lhernandez@lagaycenter.org,SPA 4,SD 3,CD 13,190200,14, ,13, , 
163,M,92.5,A,"1310 Wilshire Blvd, Los Angeles, CA, 90017",1,-118.266848,34.053856,038-010103,PSH,"Special Service for Groups, Inc.",Shelter Plus Care - Tenant Based Project (HACLA),C,0,SMF+HC,Family,NA,Mentally Ill,Yes,1,1310 WILSHIRE BLVD, ,Los Angeles,90021,62118,Elvira Quintos,Program Director,(213) 483-3000,equintos@apctc.org,SPA 4,SD 1,CD 1,209102,104, ,104, , 
165,M,100,A,"1063 S Eastman Ave, Los Angeles, CA, 90023",1,-118.186275,34.020981,011-001112,PSH,A Community of Friends,Las Flores Apartments,C,0,HC,Family,NA,Mentally Ill,Yes,0.75,1063 S. Eastman Ave., Suite 108,Los Angeles,90023,69037,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 7,SD 1,NA,531301,56, ,42, , 
167,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,442-018800,PSH,"New Directions for Veterans, Inc.",Beswick Senior Apartments,C,0,SMF,Individual,NA,NA,No,0.94,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Ernesto Espinoza,Director,(323) 604-1953,eespninoza@elacc.org,SPA 5,SD 3,CD 11,267300,32, ,30, ,Veterans
168,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007865,PSH,"New Directions for Veterans, Inc.",El Monte Veterans Apartments,C,0,SMF,Individual,NA, ,Yes,0.9,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,40, ,36, ,Veterans
169,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007858,PSH,"New Directions for Veterans, Inc.",New Directions Sepulveda,C,0,SMF,Individual,NA,Multi-Diagnosed,Yes,0.91,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Dan Vetter, ,(310) 914-4045 x 111,dvetter@ndvets.org,SPA 5,SD 3,CD 11,267300,147, ,134, ,Veterans
170,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007856,TH,"New Directions for Veterans, Inc.",GPD - Oasis for Veteran Women- Keaveney House,C,0,SF,Individual,NA,Multi-Diagnosed,Yes,0.88,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,8, ,7, ,Veterans
171,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007859,TH,"New Directions for Veterans, Inc.",GPD - Oasis for Veteran Women- Mitchell House,C,0,SF,Individual,NA,Multi-Diagnosed,Yes,0.33,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,6, ,2, ,Veterans
172,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007861,PSH,"New Directions for Veterans, Inc.",Shelter Plus Care 1 - Tenant Based Project (HACLA),C,0,SM,Individual,NA,Multi-Diagnosed,Yes,0,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267100,16, ,0, ,Veterans
173,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007866,PSH,"New Directions for Veterans, Inc.",Shelter Plus Care 2 (S+C 2),C,0,SMF,Individual,NA, ,Yes,0.97,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,30, ,29, ,Veterans
174,M,100,A,"1300 Federal Ave, Los Angeles, CA, 90025",1,-118.456995,34.048335,152-004602,ES,"First To Serve, Inc.",Winter Shelter Program - Westside,C,Facility-based beds,SMF,Individual,NA,NA,Yes,0.96,1300 Federal Ave., ,Los Angeles,90025,69037,Richard Reed,Executive Director,(323) 758-4670,rreed@firsttoserve.org,SPA 5,SD 3,NA,701100,160, ,154, , 
175,M,100,A,"1401 S Sepulveda Blvd, Los Angeles, CA, 90025",1,-118.448394,34.052321,040-009425,TH,The Salvation Army,Westwood Transitional Village,C,0,HC,Family,NA,NA,Yes,0.8,1401 S SEPULVEDA BLVD, ,Los Angeles,90025,62118,Diane Goode,Director,(310) 477-9539,diane.goode@usw.salavationarmy.org,SPA 5,SD 3,CD 5,265520,153, ,123, ,Veterans
176,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007867,PSH,"New Directions for Veterans, Inc.",Shelter Plus Care 3 (S+C 3),C,0,SMF,Individual,NA, ,Yes,0.09,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,23, ,2, ,Veterans
177,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007851,TH,"New Directions for Veterans, Inc.",GPD - Veterans Opportunity Center North Buiding 257,C,0,SM,Individual,NA,Multi-Diagnosed,Yes,0.96,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,50, ,48, ,Veterans
178,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007854,TH,"New Directions for Veterans, Inc.",GPD - Veterans Opportunity Center-Building 116,C,0,SM,Individual,NA,Multi-Diagnosed,Yes,0.59,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,156, ,92, ,Veterans
179,M,100,A,"975 N Vendome St, Los Angeles, CA, 90026",1,-118.27458,34.083918,011-001120,PSH,A Community of Friends,Vendome Palms,C,0,SMF+HC,Family,NA,Mentally Ill,No,0.92,975 N. Vendome St., ,Los Angeles,90026,62118,Dora Leong Gallo,CEO,(213) 480-0813,dgallo@acof.org,SPA 4,SD 1,CD 13,195801,37, ,34, , 
180,M,90.87,A,"660 Stanford Ave, Los Angeles, CA, 90021",1,-118.244074,34.039266,028-006404,PSH,"LAMP Community, Inc.",Lamp Lodge SHP,C,0,SMF,Individual,NA,Mentally Ill,Yes,0.8,660 S. Stanford Ave., ,Los Angeles,90021,62118,Jose Manriquez,Manager,(213) 488-9559 x 203,josem@lampcommunity.org,SPA 4,SD 2,CD 14,206300,15, ,12,Skidrow, 
181,M,83.37,M,"1680 Vine St, Los Angeles, CA, 90028",1,-118.326617,34.101248,121-007203,ES,Los Angeles Youth Network (LAYN),Taft Youth Shelter,C,Facility-based beds,YM,Youth,HIV,Youth (Ages 12-17),Yes,0.67,1680 N. Vine St. Suite 1005, ,Los Angeles,90025,62118,Chris Albidrez,Outreach Manager,(323) 957-7757,calbidrez@layn.org,SPA 4,SD 3,CD 13,190301,6, ,4, , 
182,M,100,A,"11420 Santa Monica Blvd, Los Angeles, CA, 90025",1,-118.451323,34.04565,100-007864,RRH,"New Directions for Veterans, Inc.",SSVF - Supportive Services for Veteran Families,C,0,SMF+HC,Family,NA,NA,No,1,11420 Santa Monica Boulevard,PO Box 25536,Los Angeles,90025,62118,Achee Stevenson,Contract Compliance & Quality Assurance Officer,(310) 914-4045,astevenson@ndvets.org,SPA 5,SD 3,CD 11,267300,12, ,12, ,Veterans
183,M,95.59,A,"2737 W Sunset Blvd, Los Angeles, CA, 90026",1,-118.270798,34.08107,040-009400,TH,The Salvation Army,The Salvation Army SC Division LA Alegria (aka Bethesda House at Alegria),C,0,HC,Family,HIV,NA,Yes,0.83,2737 W SUNSET BLVD, ,Bell,90026,62118,Xochitl Santamaria,Program Manager,(323) 454-4218,xochil.santamaria@usw.salvationarmy.org,SPA 4,SD 1,CD 13,195600,47, ,39, , 
184,M,100,A,"151 N Occidental Blvd, Los Angeles, CA, 90026",1,-118.279076,34.071371,157-010252,TH,St. Anne's Maternity Home,St. Anne's Transitional Housing,C,0,SFHC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.52,151 N OCCIDENTAL BLVD, ,Los Angeles,90026,62118,Amber Goggia,Program Director,(213) 381-2931,agoggia@stannes.org,SPA 4,SD 1,CD 13,208610,96, ,50, , 
185,M,100,A,"135 N Park View St, Los Angeles, CA, 90026",1,-118.273478,34.069057,134-004501,TH,"Filipino American Service Group, Inc.",Park View House,C,0,SMF,Individual,NA,Substance Abusers,Yes,0.41,135 N. Park View Street, ,Los Angeles,90026,62118,Bryan C. Jones,Director of Transitional Programs,(213) 487-9804,bryanj@fasgi.org,SPA 4,SD 1,CD 13,208500,22, ,9, , 
186,M,100,A,"1004 Echo Park Ave, Los Angeles, CA, 90026",1,-118.258854,34.074243,105-008950,TH,Project New Hope,Transitional Residential Care Facility,C,0,SMF,Individual,HIV,Chronically Homeless,No,0.85,1004 Echo Park Ave, ,Los Angeles,90026,62118,Leigh Zweig,CO,(213) 250-9481,lzweig@projectnewhope.org,SPA 4,SD 1,CD 1,197500,20, ,17, , 
187,M,100,A,"1004 Echo Park Ave, Los Angeles, CA, 90026",1,-118.258854,34.074243,105-008951,TH,Project New Hope,Residential Care Facilities for the Chronically Ill,C,0,SMF,Individual,HIV,Chronically Homeless,No,0.95,1004 Echo Park Ave, ,Los Angeles,90026,62118,Leigh Zweig,CO,(213) 250-9481,lzweig@projectnewhope.org,SPA 4,SD 1,CD 1,197500,22, ,21, , 
188,M,100,A,"1245 Innes Ave, Los Angeles, CA, 90026",1,-118.249696,34.071424,263-005712,PSH,Hollywood Community Housing Corporation,Hollywood Community Housing Corporation - Scattered Sites (S+C),C,0,SMF+HC,Family,HIV,NA,Yes,0.95,1245 Innes Ave., ,Los Angeles,90026,62118,Consuelo Lopez,Program Manager,(323) 454-6204,clopez@hollywoodhousing.org,SPA 4,SD 1,CD 1,197700,209, ,199, , 
189,M,100,A,"1011 Waterloo St, Los Angeles, CA, 90026",1,-118.267436,34.077829,263-005713,PSH,Hollywood Community Housing Corporation,Waterloo Heights Apartments,C,0,SMF,Individual,HIV, ,No,1,1011 Waterloo St., ,Los Angeles,90026,62118,Consuelo Lopez,Program Manager,(323) 454-6205,clopez@hollywoodhousing.org,SPA 4,SD 1,CD 13,195710,17, ,17, , 
190,M,100,A,"267 Belmont Ave, Los Angeles, CA, 90026",1,-118.263235,34.066113,257-005054,ES,Good Shepherd Shelter of Los Angeles,Languille Emergency Shelter at Good Shepherd Center for Homeless Women and Children,C,Facility-based beds,SF,Individual,NA, ,No,0.97,267 Belmont Ave., ,Los Angeles,90026,62118,Lois Lengel,Regional Manager,(323) 737-6112,llengel@goodshephercenter.org,SPA 4,SD 1,CD 13,208300,30, ,29, , 
191,M,100,A,"1671 Beverly Blvd, Los Angeles, CA, 90026",1,-118.265239,34.06445,013-002620,TH,"Catholic Charities of Los Angeles, Inc.",Farley House at Good Shepherd Center for Homeless Women and Children,C,0,SFHC,Family,NA,NA,Yes,1.03,1671 Beverly Blvd., ,Los Angeles,90026,62118,Carol Liu,Client Services Site Supervisor,(213) 235-1460,cliu@gschomeless.org,SPA 4,SD 1,CD 13,208300,37, ,38, , 
192,M,100,A,"1640 Rockwood St, Los Angeles, CA, 90026",1,-118.263966,34.064982,013-002604,TH,"Catholic Charities of Los Angeles, Inc.",Hawkes Transitional Residence,C,0,SF,Individual,NA,NA,Yes,1.03,1640 Rockwood St., ,Los Angeles,90026,62118,Carol Liu,Client Services Site Supervisor,(213) 235-1460,cliu@gschomeless.org,SPA 4,SD 1,CD 13,208300,30, ,31, , 
193,M,100,A,"1640 Rockwood St, Los Angeles, CA, 90026",1,-118.263966,34.064982,013-002624,RRH,"Catholic Charities of Los Angeles, Inc.",Hawkes Transitional Residence,C,0,SF,Individual,NA, ,Yes,1.03,1640 Rockwood St., ,Los Angeles,90026,62118,Carol Liu,Client Services Site Supervisor,(213) 235-1460,cliu@gschomeless.org,SPA 3,SD 1,NA,402702,16, ,16, , 
194,M,100,A,"2301 Bellevue Ave, Los Angeles, CA, 90026",1,-118.268897,34.07392,413-017250,TH,Dream Center,Transitional Family Housing Program,C,0,SMF+HC,Family,NA,NA,No,0.51,2301 Bellevue Ave, ,Los Angeles,90026,62118,Katie Martinez,Program Director,(213) 273-7051,kmartinez@dreamcenter.org,SPA 4,SD 1,CD 13,195710,161, ,82, , 
196,M,100,A,"1801 Lake Shore Ave, Los Angeles, CA, 90026",1,-118.255877,34.085558,083-011301,TH,Volunteers of America of Los Angeles,GPD - Billets,C,0,SMF,Individual,NA, ,No,0.78,1801 LAKE SHORE AVE, ,Los Angeles,90026,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 4,SD 1,CD 13,197420,65, ,51, ,Veterans
197,M,92.5,A,"824 4th Ave, Los Angeles, CA, 90291",1,-118.472194,33.994396,044-008581,RRH,People Assisting the Homeless (PATH),FSC Rapid Re-Housing,N,0,HC,Family,NA, ,Yes,1,824 4th Ave, ,Los Angeles,90019,62118,Mario Cardona,Associate Director,(323) 960-3333,mcardona@epath.org,SPA 4,SD 2,CD 10,218120,4, ,4, , 
198,M,100,A,"1325 N Western Ave, Los Angeles, CA, 90027",1,-118.309281,34.095413,018-003805,TH,Covenant House of California,Rights of Passage,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,1,1325 N. Western Ave., ,Los Angeles,90027,62118,Jesus Siordia,Residential Services Coordinator,(323) 461-3131,jsiordia@covca.org,SPA 4,SD 3,CD 13,190901,24, ,24, , 
199,M,100,A,"1325 N Western Ave, Los Angeles, CA, 90027",1,-118.309281,34.095413,018-003801,ES,Covenant House of California,Covenant House Emergency Shelter,C,Facility-based beds,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.98,1325 N. Western Ave., ,Los Angeles,90027,62118,Jesus Siordia,Residential Services Coordinator,(323) 461-3131,jsiordia@covca.org,SPA 4,SD 3,CD 13,190901,48, ,47, , 
200,M,100,A,"4969 W Sunset Blvd, Los Angeles, CA, 90027",1,-118.297736,34.098187,083-011290,TH,Volunteers of America of Los Angeles,GPD- Veteran Transitional Housing Hollywood Center,C,0,SMF,Individual,NA, ,No,1.26,4969 W SUNSET BLVD, ,Los Angeles,90027,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 4,SD 3,CD 13,191201,50, ,63, ,Veterans
